epoch,train_loss,val_loss,val_f1_background,val_f1_building,val_f1_road,val_f1_flooded,lr,seconds
40,0.6207146873840919,0.5931053042411805,0.9469791267844444,0.21282568072503535,0.10780793615918831,0.0,0.0004995258321842611,92.09
41,0.5728414949479994,0.5252718985080719,0.9647268112821479,0.21930947658390068,0.10670663376874485,0.0,0.000498105127417984,88.75
42,0.5608961012337234,0.5307823240756988,0.9316657536737483,0.20964188765267316,0.11671380072798784,0.0,0.0004957432749209755,91.17
43,0.5487165876797268,0.5206580877304077,0.9609291782650391,0.21568946737529196,0.12146422177628664,0.0,0.0004924492340087524,90.56
44,0.55797675546709,0.5224451541900634,0.952930965158917,0.20884151996668496,0.12898104428923857,0.0,0.0004882355001067892,93.71
45,0.5651494703450046,0.505672550201416,0.9740053058013374,0.22775754528369546,0.12927545959309872,0.0,0.00048311805735108893,100.39
46,0.5401002856401297,0.49031381607055663,0.9750463545713568,0.22012483994247584,0.13748142100162616,0.0,0.00047711631795488093,97.88
47,0.5249636088098798,0.49007061719894407,0.9589019577824367,0.24918904445300663,0.1619081404430113,0.0,0.00047025304857144614,93.77
48,0.5285281414514059,0.4922642409801483,0.9672607603144842,0.24693731397330118,0.16767565611657792,0.0,0.0004625542839324036,93.34
49,0.5448625565885188,0.5352554678916931,0.9719061994721085,0.16435444888294165,0.1162574837400917,0.0,0.0004540492280890555,101.17
50,0.5598775862337468,0.527618670463562,0.9354175878909338,0.19617346008506295,0.11430111989510901,0.0,0.00044477014363141767,92.67
51,0.5636859392071818,0.5342035591602325,0.9657717545390344,0.15407995521048687,0.11195188250515278,0.0,0.0004347522293051648,94.4
52,0.5628999059016888,0.5189240932464599,0.9766645089503451,0.19295760101197762,0.12111938033630779,0.0,0.0004240334864907317,93.12
53,0.5569931622389909,0.5124849438667297,0.974713536641314,0.22296410612036105,0.12745394121784473,0.0,0.0004126545750510605,100.64
54,0.5607986103047381,0.5117530107498169,0.9632636318101703,0.2042736928752545,0.13121426140231032,0.0,0.0004006586590948141,93.11
55,0.5577528647014073,0.5212636053562164,0.9741621461385771,0.20192077228360805,0.11955508572006346,0.0,0.00038809124324012647,85.55
56,0.5491546811638298,0.5253499269485473,0.9763545659553362,0.2018054973015669,0.11799492185161553,0.0,0.000375,87.58
57,0.566653406227028,0.5265713095664978,0.9599930372516136,0.19519395556007962,0.12642805026971232,0.0,0.0003614345889441346,88.05
58,0.5566204950049684,0.52626274228096,0.9739490072995757,0.19631841253234011,0.1292179010442355,0.0,0.0003474464683231698,90.71
59,0.5606620121788193,0.518176132440567,0.9713667361843482,0.22274897284484863,0.1245152959723231,0.0,0.00033308869986991484,79.98
60,0.5645046961176526,0.5255251407623291,0.9736572199927336,0.1430077142076438,0.12779328169887438,0.0,0.00031841574751802063,80.48
61,0.5536538513152154,0.5178351283073426,0.9697285341101001,0.21250774159672034,0.1287205433699568,0.0,0.00030348327080162435,80.16
62,0.5402672434901143,0.5212986588478088,0.9651341474254588,0.20712468366581435,0.125540964610311,0.0,0.0002883479137196713,79.78
63,0.5454455640289809,0.5159704625606537,0.96802027656828,0.20903529435247825,0.1257835168418715,0.0,0.00027306708986582544,80.39
64,0.5409678528597067,0.5174944877624512,0.9715677745334279,0.20841559189306308,0.12140782057086266,0.0,0.0002576987646390425,80.3
65,0.5434040152109586,0.5230580151081086,0.9751633102754059,0.18600326099910122,0.13581895045818304,0.0,0.00024230123536095736,79.7
66,0.5379649518610357,0.5067164242267609,0.9703994884839247,0.23405219993952003,0.13507382848689078,0.0,0.0002269329101341745,83.94
67,0.5265128009921902,0.5194866955280304,0.9735595391267855,0.19026337441836555,0.13728802333621679,0.0,0.00021165208628032864,80.28
68,0.5225747358667981,0.5226562023162842,0.974745904674374,0.17612996207968856,0.13718616402027278,0.0,0.00019651672919837563,79.99
69,0.5481016491795634,0.538710206747055,0.9443553635779287,0.1654231514938111,0.13208961744409983,0.0,0.00018158425248197932,79.89
70,0.5313567905635624,0.5353123247623444,0.9614317202290301,0.1640070648679191,0.13571767382270927,0.0,0.0001669113001300851,80.32
71,0.5429664123189318,0.5261987924575806,0.9672215774774786,0.16471966555626175,0.14172400694317844,0.0,0.00015255353167683013,79.53
72,0.5413672203546042,0.558844941854477,0.9573894356450412,0.09647211259343912,0.11993206976656931,0.0,0.0001385654110558654,80.11
73,0.5280875976269062,0.5277814984321594,0.9740722524797611,0.1628710452141483,0.1458888971063863,0.0,0.0001249999999999999,79.93
74,0.5391135838005569,0.5422377943992615,0.9747977321664448,0.11677427757110122,0.13483746284662146,0.0,0.00011190875675987352,80.12
75,0.5251184001073732,0.5414918720722198,0.9668881810773851,0.13551691731335927,0.13837929736113988,0.0,9.93413409051859e-05,80.02
76,0.525081190434131,0.5293273210525513,0.9623142756351243,0.17399331148854474,0.14649801877538426,0.0,8.73454249489394e-05,79.52
77,0.5140179788673317,0.5310058653354645,0.9718823740127203,0.1666810183570519,0.14179781889144868,0.0,7.596651350926833e-05,79.85
78,0.5152275817734855,0.5296012043952942,0.9761891397284351,0.16080577377915586,0.14354465940657385,0.0,6.524777069483524e-05,79.95
79,0.5252487233706883,0.5347097098827363,0.9533814168510164,0.16127415208677753,0.1501262515708392,0.0,5.5229856368582366e-05,78.89
80,0.5229636142542075,0.5258776247501373,0.9704056477479455,0.1622860321325476,0.15414526299950845,0.0,4.5950771910944586e-05,76.54
81,0.5088077357837132,0.5348349332809448,0.95058358492513,0.16521083586386862,0.15158515757287722,0.0,3.744571606759643e-05,76.26
82,0.5199979262037592,0.536825567483902,0.9600810438469022,0.164301225633642,0.13894648275091068,0.0,2.9746951428553868e-05,76.41
83,0.5169881195812435,0.5294218182563781,0.9462912904571041,0.179693297665687,0.15706832319501826,0.0,2.2883682045119083e-05,76.86
84,0.5228017909186227,0.5365478992462158,0.9661518791014048,0.15508131271823408,0.13807028295335558,0.0,1.688194264891104e-05,76.99
85,0.5050134187216287,0.5291972994804383,0.9703504041230824,0.17504073831842587,0.14350252889545706,0.0,1.1764499893210872e-05,76.38
