epoch,train_loss,val_loss,val_f1_background,val_f1_building,val_f1_road,val_f1_flooded,lr,seconds
10,0.3786983832241593,0.42583365738391876,0.9698496787689525,0.3,0.2530908654211884,0.6625,0.0004972077065562821,299.39
11,0.36978962029564233,0.42498091906309127,0.9757117798421222,0.3,0.2769214761416357,0.6625,0.0004888932014465351,296.36
12,0.3657013934296808,0.4171844176948071,0.9735563730502266,0.3,0.29303300389659215,0.6625,0.00047524221697560476,295.57
13,0.3628186772831931,0.4212648831307888,0.9742509441693971,0.3,0.28978428002741496,0.6625,0.0004565596935789987,295.77
14,0.36250696979184094,0.4461322441697121,0.9700305223382836,0.3,0.1918900250969162,0.6625,0.0004332629679574565,295.05
15,0.36670955689042684,0.41663485765457153,0.9753726304306589,0.3,0.3053359049900407,0.6625,0.00040587245046468334,295.61
16,0.359675742551457,0.42507187724113465,0.976197315490006,0.3,0.28510439048970265,0.6625,0.00037499999999999995,296.64
17,0.3560058368723865,0.41972263902425766,0.9757147344487676,0.3,0.2928034726549229,0.6625,0.00034133525609159873,295.11
18,0.3514334553653754,0.420243788510561,0.9765139421086688,0.3,0.3031812841182598,0.6625,0.00030563023348907853,294.63
19,0.35017806175843025,0.41582771465182305,0.975667751032214,0.3,0.3099143432149277,0.6625,0.00026868252339660607,295.69
20,0.3511773920753627,0.42421407625079155,0.9755436571125952,0.3,0.2797274673848479,0.6625,0.00023131747660339397,295.23
21,0.3508502665736639,0.42488652691245077,0.9774841456429089,0.3,0.2992464901194132,0.6625,0.0001943697665109214,295.18
22,0.3441732029809039,0.4212276555597782,0.9765382370383007,0.3,0.30730858192477306,0.6625,0.00015866474390840123,295.58
23,0.33752377775604947,0.42938199937343596,0.9789179841245815,0.3,0.2936262723632882,0.6625,0.00012500000000000006,295.67
24,0.3354709861017299,0.40969437509775164,0.9772492144663654,0.3,0.34346158745862404,0.6625,9.412754953531663e-05,294.69
25,0.3318960197094244,0.41163494884967805,0.9777607734092204,0.3,0.3460131833999898,0.6625,6.673703204254342e-05,295.68
26,0.3283017437269552,0.4105440087616444,0.9779875566831379,0.3,0.35090829986628735,0.6625,4.344030642100125e-05,299.18
27,0.3266754982871586,0.4117589868605137,0.9780786229454661,0.3,0.3472422463075669,0.6625,2.475778302439524e-05,295.42
28,0.3248347369708565,0.4087107479572296,0.9774814887571758,0.3,0.3512031039020699,0.6625,1.1106798553464858e-05,296.98
29,0.32381247986371575,0.4160674691200256,0.9786171442265326,0.3,0.33848362271750543,0.6625,2.792293443717869e-06,295.37
30,0.32331520170180045,0.41224095970392227,0.9781706316824736,0.3,0.3475210375644976,0.6625,0.0,295.54
