epoch,train_loss,val_loss,val_f1_background,val_f1_building,val_f1_road,val_f1_flooded,lr,seconds
1,0.5700252374013265,0.4978502293427785,0.8144199618050069,0.5782744391368078,0.8695269101655985,0.11209359031278225,0.0009972609476841367,15.75
2,0.4367530544598897,0.41797791918118793,0.8943254075081879,0.7940065568887773,0.8874622945686456,0.16009866492387662,0.0009890738003669028,16.03
3,0.35267698566118877,0.3245079815387726,0.9653635316050521,0.8308709364601139,0.8465373592958502,0.6127896128758589,0.0009755282581475768,15.79
4,0.26470218499501547,0.20717093348503113,0.9870794704541531,0.9118020918636732,0.9312227080037765,0.8711830812318423,0.0009567727288213003,15.98
5,0.1464821219444275,0.10302391648292542,0.9947939624084131,0.9670819682709956,0.9646882824940691,0.953203089948857,0.0009330127018922195,16.01
6,0.08070104718208312,0.06627208987871806,0.997504059359757,0.9839103356280576,0.9820011004506805,0.939665130261696,0.0009045084971874739,15.78
7,0.049496299028396605,0.04221469163894653,0.998953302470138,0.9901414477024136,0.9939863370592845,0.9660282428327248,0.0008715724127386972,15.93
8,0.03868811130523682,0.035784502824147545,0.9987613852072723,0.9899630158561257,0.9911873957420902,0.9692205785643601,0.0008345653031794292,15.72
9,0.026125027736028036,0.03872708479563395,0.9986833132666044,0.9910174814570407,0.98813895863236,0.9518461243081083,0.0007938926261462366,16.03
10,0.030545932054519654,0.02944737672805786,0.9980128852218192,0.9878553472523728,0.9833583842004338,0.9481759899762422,0.00075,16.25
11,0.02494200269381205,0.022914270559946697,0.9991149176410592,0.9928247885903848,0.9927140939117048,0.9673633327307454,0.0007033683215379003,15.87
12,0.016409387191136677,0.020010799169540405,0.9994131402746644,0.9950531116981999,0.9950834506730172,0.9738341303175736,0.0006545084971874739,15.76
13,0.021434646844863892,0.01801508665084839,0.9992637424479344,0.9947064247111378,0.9936121175094291,0.9749877909265204,0.0006039558454088797,16.09
14,0.01251351237297058,0.017920225858688354,0.999452713204989,0.9956116341998292,0.9946798172150405,0.9764789687599865,0.0005522642316338269,15.86
15,0.010862501462300618,0.015430440505345663,0.9994204320918677,0.9957021829550546,0.9947377272512767,0.9793341671134094,0.0005000000000000002,16.12
16,0.017230759064356487,0.015349378188451132,0.9995399890289902,0.9957544027754063,0.996215999857459,0.9792849357736655,0.0004477357683661734,16.03
17,0.00901087721188863,0.01367927591005961,0.9995383185135108,0.9959584414439323,0.9956981207751693,0.9836905106827314,0.00039604415459112036,16.04
18,0.014712939659754435,0.013141502936681112,0.9994423090351026,0.9957874607562741,0.9949358697016214,0.9822123768489416,0.0003454915028125264,15.79
19,0.014559592803319294,0.01250484585762024,0.9995605469139964,0.9961660872372935,0.9962271680392644,0.9849201843488612,0.0002966316784621,16.04
20,0.007776149113972982,0.013799925645192465,0.9994883828395897,0.9960854268972509,0.9959506407542588,0.9817268956667243,0.00025000000000000017,15.92
21,0.00715752641359965,0.0127542515595754,0.9995592112532633,0.9964452926818507,0.9963507491011798,0.9830641948517963,0.00020610737385376354,15.9
22,0.006865064303080241,0.013388911883036295,0.999507233916766,0.9960327321639181,0.995832010061302,0.9823923600673723,0.00016543469682057108,15.6
23,0.013327123721440633,0.01304436723391215,0.9995369190012612,0.9964173546039636,0.9962109528352215,0.981345367701437,0.00012842758726130298,15.74
24,0.00728195309638977,0.013062695662180582,0.9995163368589655,0.9962798870515416,0.9957469355986093,0.9823164608826955,9.549150281252637e-05,15.73
25,0.006314682960510254,0.011778980493545532,0.9995928903312694,0.9965602231675899,0.9965346337325826,0.9849254533998001,6.698729810778068e-05,15.72
26,0.00601282517115275,0.0118942658106486,0.9995679214764138,0.996458408240047,0.9964296510548526,0.9841308052891763,4.322727117869953e-05,15.69
27,0.006099538008371989,0.011696964502334595,0.9995751945710026,0.9964750367176914,0.9964773485592424,0.9845770024322196,2.447174185242324e-05,15.72
28,0.012391153971354167,0.011783401171366373,0.999523555942218,0.9960811640756551,0.9959054257996224,0.98509329559381,1.092619963309716e-05,15.97
29,0.005881025393803915,0.011333455642064413,0.9995706955282264,0.9962265062389015,0.9963331827155133,0.9849432390797287,2.7390523158633003e-06,15.84
30,0.00547067125638326,0.011537651220957438,0.9995648114598664,0.9963089933607678,0.9963450805421618,0.9853290958284822,0.0,16.02
